Features,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
32.0,0.138131488873047,0.07875879709581417,0.45334278855330734,0.06905921033037027,0.4716401587410755,0.729388640651187,0.0366176600754538,0.03748253692773555,0.025239780874514166,-0.011339562746348205,0.03487425002311009,-0.01446005319599465,-0.0077973565896756695,0.03812167675222463,-0.02993100488685686,-0.006646750553099979,0.002200866408734168,-0.002800693544264618,0.01078608250828879,-0.006936956312159759,0.018950640706189546,-0.01545743325661392,-0.013640334189470684,-0.0008395181432210406,-0.029007203370976117,-0.0042970155271707736,0.017117225369115127,0.0031459063340389696
33.0,0.09809179725888488,0.05056333803821923,0.6478695277929022,-0.6324577840590861,-0.39344611094223575,-0.10672782236837838,-0.018843007624128813,-0.012623603046454107,-0.00975994600166996,0.004827149035637393,-0.017719808782729985,0.011689858312872798,-2.818381668630027e-06,-0.01533507819923143,0.013767909461355267,0.0003890387519831135,-0.0016178799504072824,0.0021045508818143197,-0.006954539465996701,-0.001799854140362989,-0.005843503882550857,0.0073595131009358385,0.0033066674583462617,-0.0006360922222047887,0.010728363755866133,0.004519429056920154,-0.005534481463942303,-0.0023847485310882644
34.0,0.1472180518061378,0.3222768464163917,-0.11132855368726585,-0.07780454932827029,0.020109131301362403,0.0016484801159748878,-0.003428687391455372,-0.0027259020510917433,-0.0002705542698432968,-0.002062703845922494,-0.0027436720959168916,0.0008773788900593774,-0.0005384961542143863,-0.00339264431805503,0.001632465113738349,-0.00012485920010852478,-0.0004549608558275638,-0.0005355573907419732,-0.0020120464831256974,-0.0014781359226206886,-0.0009216751656240448,0.0008647296093626201,0.0006134766700074851,0.00018565892574469363,0.0004189377121210725,0.0008997589793173225,0.0006906219366746493,-0.22981750288715244
35.0,0.22582680212924844,0.5238989229915555,-0.17823848253688113,-0.12607598017161575,0.03299579347337247,0.0032567966122916178,-0.005316773499067551,-0.004340444639747686,-0.0004404553431603208,-0.0033232237584435546,-0.004349346586548548,0.001415116606672801,-0.0008796066769880403,-0.005369770024209128,0.002575302004152283,-0.0002403773470893016,-0.0007381022134242376,-0.0008397549256189388,-0.003184315824461525,-0.0023806655377279795,-0.0014722113389717727,0.0013956307945030607,0.0009678442441719343,0.0002742618204069513,0.0006175351702508092,0.0014456041499589696,0.0011102866347858387,-0.48313432588428845
36.0,0.17479354437556727,0.3961076755294686,-0.1355843272892784,-0.09544452347268764,0.02485546247414903,0.002289152684388739,-0.004097036215281394,-0.003308978520514095,-0.0003328265286858183,-0.002521601674911833,-0.0033217093648463926,0.001073288855484083,-0.0006637836173873582,-0.004103602845322549,0.0019706823982326336,-0.0001705136893654029,-0.0005585091560508313,-0.0006441832014066066,-0.0024335574381389087,-0.0018066360120006558,-0.0011209345612417558,0.0010582327133870275,0.0007406014850027835,0.00021563396341432446,0.00048596794006111626,0.0010981093303956161,0.0008431847331025854,0.08144071655620565
37.0,0.3091529590464259,0.38333989880541,-0.15963276696211656,-0.09656436218529618,0.020879203989981995,-0.003770944830180056,-0.006630927671242117,-0.004144671716103333,-0.00031548394324218746,-0.0027509890185053692,-0.004364338630625571,0.0011545396298114146,-0.0005986281098575763,-0.0054795579471026345,0.0027211988502866616,0.00022304632242891047,-0.0005559671169091654,-0.0009435540497684144,-0.00325257193675564,-0.001978915383067428,-0.001355381895786415,0.0011287941589129965,0.0010221075549196779,0.0004944979625357822,0.0011290837300985096,0.0012397090590972391,0.0009446611043103282,0.6631170862251499
38.0,0.26236576114735033,-0.13838592648338047,-0.01828855761808715,0.02365002342488679,-0.016019144761100987,-0.014630149637766179,-0.004727890345994488,-0.001021111754711672,0.00013155960490378294,0.0001632136067453183,-0.0014957043500291331,-0.00010732507628739392,0.0003330020829311128,-0.002050860990104817,0.001192215707525302,0.0009561299763027162,0.00015940438442866,-0.0005145650231141316,-0.0012232272714212066,9.86117810344809e-05,-0.00023351317011746514,-0.0001278821782361627,0.0004467864376415332,0.0005849933459355069,0.0013522245779367694,2.527837310265579e-05,2.6573751423056167e-06,-0.18831410009231933
39.0,0.05538294859577183,-0.029211969653703884,-0.003860542785857181,0.004992297874163879,-0.0033814910412567948,-0.003088287213215272,-0.0009980132577268514,-0.00021554710330503124,2.777099726655922e-05,3.445285982805622e-05,-0.0003157291438100492,-2.265531583491907e-05,7.029361285781556e-05,-0.0004329174976771892,0.0002516655410987518,0.00020183006005407622,3.3648768765246456e-05,-0.00010861984467640679,-0.0002582117910424478,2.0816021023582545e-05,-4.929243755208739e-05,-2.6994727027287798e-05,9.431242171663063e-05,0.00012348660229936028,0.0002854419111670278,5.336027204650528e-06,5.609469254708996e-07,-0.06828745222844988
40.0,0.08545448233806639,-0.04507332686550292,-0.0059567194176903746,0.007702988759733047,-0.005217554749034602,-0.004765148693017234,-0.0015399090959935012,-0.00033258370309658205,4.284994308867909e-05,5.315988722715043e-05,-0.0004871620458532763,-3.4956576635016634e-05,0.00010846125839669791,-0.0006679806979784354,0.00038831353480080417,0.00031141865392681595,5.19191951520611e-05,-0.0001675976601784254,-0.00039841423211631503,3.211859147893938e-05,-7.605697856575071e-05,-4.165217783605092e-05,0.0001455216701233634,0.00019053668941418307,0.0004404296155259724,8.233354375704175e-06,8.65526852579368e-07,-0.09473031215331934
41.0,0.5732611593332758,-0.30236901455566817,-0.03995993873907179,0.05167457745828145,-0.035001341093889436,-0.03196642925467225,-0.01033029572568099,-0.002231097936540609,0.000287453710802496,0.0003566167361649266,-0.0032680682340882655,-0.00023450200738465394,0.0007275993608609803,-0.004481068504047288,0.002604954837415516,0.002089114739248167,0.0003482937019769197,-0.0011243088290678062,-0.0026727141555235906,0.00021546372390805817,-0.0005102191308592282,-0.000279418646078613,0.0009762146939164757,0.0012781925594050904,0.002954569322951215,5.523247164940699e-05,5.806283663538887e-06,0.10365893641602947
