Features,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
5_A_4thDeg,-0.105287402,-0.094670387,0.159308396,0.025879662,-0.003492566,-0.222811879,0.219280438,0.211356469,0.180682012,0.100124208,0.760249575,-0.017444477,0.148158366,-0.101754897,0.194913929,0.04536064,0.151780295,-0.071501658,0.003310021,0.059881305,0.013656529,0.031061126,0.116425889,0.004276961,0.022452876,0.021441672,-0.026227077,-0.043206822,0.008896969,0.023534619,0.114285173
5_B_4thDeg,-0.0707972,-0.064847643,0.109131503,0.019124444,0.017941013,-0.180637481,0.599167426,0.228019059,0.102618295,-0.302127736,-0.33271259,-0.391462092,0.091262555,-0.154600678,0.232294761,0.105298748,0.002517209,-0.038575516,-0.001389912,-0.042768806,-0.016931468,-0.023273824,-0.117707844,-0.003419267,-0.0252557,-0.013051894,0.02563344,0.027538649,-0.007597313,-0.011545124,-0.066735649
5_C_4thDeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_D_4thDeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_A_4thDeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_A_NodeScore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_A_NodeScore,0.022546073,-0.016582099,0.035055046,-0.008593123,-0.100703914,0.214125088,0.041800875,-0.041190228,0.049667354,0.044022244,0.033204024,-0.094472511,-0.020859079,-0.06755363,-0.024175236,0.007157446,0.003243678,-0.026634137,0.000795636,-0.023506878,0.02665552,0.095566544,-0.014994707,-0.039643902,0.104529166,-0.102715138,0.021086819,-0.022950025,-0.025231481,0.058824676,-0.021528907
1_B_NodeScore,0.022546073,-0.016582099,0.035055046,-0.008593123,-0.100703914,0.214125088,0.041800875,-0.041190228,0.049667354,0.044022244,0.033204024,-0.094472511,-0.020859079,-0.06755363,-0.024175236,0.007157446,0.003243678,-0.026634137,0.000795636,-0.023506878,0.02665552,0.095566544,-0.014994707,-0.039643902,0.104529166,-0.102715138,0.021086819,-0.022950025,-0.025231481,0.058824676,-0.021528907
2_A_NodeScore,0.022546073,-0.016582099,0.035055046,-0.008593123,-0.100703914,0.214125088,0.041800875,-0.041190228,0.049667354,0.044022244,0.033204024,-0.094472511,-0.020859079,-0.06755363,-0.024175236,0.007157446,0.003243678,-0.026634137,0.000795636,-0.023506878,0.02665552,0.095566544,-0.014994707,-0.039643902,0.104529166,-0.102715138,0.021086819,-0.022950025,-0.025231481,0.058824676,-0.021528907
3_A_NodeScore,0.007261106,-0.030289774,0.058304475,-0.00496478,-0.103596195,0.204093561,0.034282666,-0.038874791,0.04939763,0.046521164,0.03082886,-0.103791402,-0.023671915,-0.062180397,-0.048363434,0.008191978,0.002014535,-0.02858966,-0.001783205,-0.039088966,0.002633478,0.074568326,0.009390958,-0.035041774,0.062875907,-0.06861156,0.096973216,-0.082197116,0.018825547,0.030097937,-0.006405973
