bin_order,Theme1A_Python_resized-crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Theme1B_Python_resized-crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Theme1C_Python_resized-crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv
76,409.20644197766165,1230.3849251441875,2081.051683875362
77,459.44738970203474,1265.630509334489,2205.020295469599
78,498.96849054825094,1334.698905219416,2318.338315693965
79,512.597006013676,1423.877840177989,2403.0568374683307
80,501.98386783029247,1500.32127875254,2461.0278799444905
81,486.4559241582326,1545.85341490325,2513.561436133989
82,493.05278887897833,1557.7582154523902,2586.3803668739924
83,532.1407675032727,1573.8172297035403,2688.7268178310183
84,585.288564963402,1615.287069603131,2804.581873952399
85,624.0556988167276,1697.0363741871313,2904.9904446949736
86,631.2098454472091,1779.4495895223267,2970.1777131954864
87,609.9615561042779,1836.6981767088869,3004.595987573695
88,584.8496170148484,1848.1357222934491,3035.460878060607
89,588.9643719049617,1840.4301902523232,3093.6809864897987
90,633.359076548465,1853.113950995447,3188.4204476015266
91,693.3105779586726,1910.432220401427,3297.51338648398
92,733.019131571555,2001.2965021532043,3384.0137352582537
93,731.4071540461458,2070.0573495666727,3424.0839484649205
94,693.168318043041,2094.653112665065,3425.624482297536
95,651.1478067913296,2063.59804446563,3426.1432636162144
96,651.3287578501513,2039.268542501194,3467.3629517708328
97,708.711702031323,2058.2724173770507,3560.2528083670213
98,786.6577407480124,2147.585683047916,3671.703998628114
99,834.4919573361274,2244.911888720786,3748.0447794347137
100,821.6510484627888,2292.9698716743073,3754.254580337523
101,750.9734636186553,2257.052884723395,3701.64053341491
102,668.1930227812021,2167.3028252770832,3649.334748139528
103,656.0398712927106,2123.1991353875733,3669.983928069448
104,755.1640989375819,2183.2320913069425,3789.436359541497
105,903.65172562005,2357.978100610029,3953.514217020113
106,1015.550232750607,2493.4888957779494,4059.770397763802
107,1033.4207145608818,2521.9150202747705,4017.5391583554874
108,931.3612646130084,2313.821552085569,3792.640434663728
109,712.3522969201703,1960.47523352775,3432.633244573965
